,Fish,Current_BB,Current_F,cluster
181,TILEMATLC,1.01,0.743,1
245,YFINEIO,0.993,1.15,1
440,BLACKOREOWECR,0.991,0.825,1
255,WPOLLAI,0.9790000000000001,0.0206,1
53,DEEPCHAKESA,0.96,0.382,1
79,BIGHTREDSE,0.946,1.07,1
101,LISQUIDATLC,0.938,0.16899999999999998,1
89,BSBASSMATLC,0.9159999999999999,1.15,1
51,STMARLINSWPO,0.91,0.81,1
200,ALBASATL,0.9,1.03,1
159,TILESATLC,0.899,1.55,1
223,COWCODSCAL,0.889,0.0182,1
452,SMOOTHOREOEPR,0.888,3.35,0
188,RSNAPGM,0.885,3.13,0
500,ACADREDGOMGB,0.866,0.133,1
213,SFLOUNMATLC,0.821,0.922,1
20,PSOLEPCOAST,0.813,0.386,1
18,VSNAPSATLC,0.8009999999999999,1.27,1
72,SMOOTHOREOSLD,0.7929999999999999,0.718,1
12,PAUAPAU7,0.792,1.3,1
186,SABLEFPCAN,0.785,1.14,1
384,RGROUPSATL,0.7490000000000001,1.55,1
491,BLUEROCKCAL,0.748,1.19,1
178,BSBASSSATL,0.703,1.09,1
330,YFINATL,0.69,1.15,1
357,CMACKPCOAST,0.68,0.39,1
266,SARDWAZC,0.679,0.72,1
75,ANCHMEDGSA16,0.669,1.62,1
242,SWHITSE,0.6629999999999999,0.7,1
217,BNSNZ,0.6579999999999999,2.71,0
410,CUSK4X,0.655,0.531,1
474,BNOSESHARATL,0.652,3.5,0
258,CROCKPCOAST,0.617,0.171,1
195,NZLINGESE,0.59,0.312,1
295,LOBSTERGOM,0.581,1.51,1
309,SNOWGROUPSATLC,0.574,1.28,1
320,WINDOWSNEMATL,0.562,1.26,1
241,GAGGM,0.5579999999999999,0.7,1
57,SARDINWA,0.55,3.04,0
161,BMARLINATL,0.55,1.72,1
193,YEYEROCKPCOAST,0.5329999999999999,0.312,1
252,OROUGHYSE,0.519,0.305,1
228,POPERCHPCOAST,0.488,0.45,1
43,WAREHOUESE,0.488,0.847,1
316,GRAMBERGM,0.478,1.53,1
287,SARDMEDGSA16,0.47,1.07,1
318,BKCDLFENI,0.429,4.16,0
267,PACBTUNA,0.42,2.71,0
163,WAREHOUWSE,0.413,0.233,1
360,STMARLINNPAC,0.387,2.68,0
487,SBARSHARATL,0.38,3.73,0
428,OROUGHYNZMEC,0.371,2.5,0
2,NZSNAPNZ8,0.353,2.5,0
276,WHAKEGBGOM,0.35200000000000004,1.17,1
198,STMARLINWCNPAC,0.35,1.22,1
286,MORWONGSE,0.313,0.7190000000000001,1
36,GEMFISHSE,0.249,0.21,1
465,YELLCCODGOM,0.247,1.73,1
449,SBT,0.23,0.76,1
85,CODGOM,0.18100000000000002,4.88,0
354,WINDOWGOMGB,0.17300000000000001,3.91,0
314,CODVIa,0.16899999999999998,4.86,0
497,WINFLOUNSNEMATL,0.162,0.172,1
475,WEAKFISHATLC,0.131,3.5,0
187,YELLSNEMATL,0.128,1.61,1
472,CODGB,0.11900000000000001,1.29,1
323,RSNAPSATLC,0.105,5.04,0
356,BKINGCRABPI,0.0819,3.91,0
282,COD2J3KL,0.0663,0.24100000000000002,1
448,ATHAL5YZ,0.0264,0.89,1
